Id,ActivityDay,DailyCalories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,DailySteps
4020332650,2016-05-03,2828,950,174,0,0,4496
4020332650,2016-05-10,2926,774,206,0,0,5546
8877689391,2016-04-22,3427,1141,236,2,61,18258
8877689391,2016-05-09,3710,1131,217,19,73,20226
6962181067,2016-04-21,2179,708,214,27,53,11835
6962181067,2016-04-25,2194,637,282,31,35,13239
4020332650,2016-05-05,3429,916,196,42,38,11728
1644430081,2016-04-14,3226,1125,252,58,5,11037
1644430081,2016-04-19,3300,1099,278,58,5,11256
1644430081,2016-04-28,3108,1157,227,53,3,9405
1644430081,2016-04-30,3846,816,402,71,9,18213
1644430081,2016-05-03,3324,1115,221,94,10,12850
2022484408,2016-04-20,2897,1053,276,63,48,15112
2022484408,2016-04-21,3158,1028,255,53,104,12453
2022484408,2016-05-09,2709,1061,297,47,35,13379
2347167796,2016-04-14,2010,705,206,48,1,10129
2347167796,2016-04-16,2670,968,268,72,66,22244
2347167796,2016-04-20,2198,1011,269,43,11,10999
3977333714,2016-04-16,1625,663,153,83,31,13459
3977333714,2016-04-17,1529,600,205,58,11,10415
3977333714,2016-04-19,1638,738,221,67,19,12414
3977333714,2016-04-20,1554,845,164,98,2,11658
3977333714,2016-04-23,1638,724,252,92,0,12058
3977333714,2016-04-30,1650,687,194,52,43,13238
3977333714,2016-05-02,1760,713,176,143,24,16520
3977333714,2016-05-04,1628,852,142,96,14,13559
3977333714,2016-05-05,1618,680,178,88,14,12312
3977333714,2016-05-06,1590,676,168,55,29,11677
3977333714,2016-05-07,1574,703,208,86,0,11550
3977333714,2016-05-08,1633,688,171,116,9,13585
3977333714,2016-05-09,1667,1159,151,122,8,14687
3977333714,2016-05-10,1630,676,196,115,1,13072
4319703577,2016-04-27,2324,680,300,47,6,10780
4388161847,2016-04-27,3074,684,241,48,11,11193
4388161847,2016-04-30,3283,537,300,43,14,12533
4388161847,2016-05-05,2899,896,199,39,12,9603
4388161847,2016-05-06,3425,1100,262,45,33,13175
4388161847,2016-05-07,4022,508,260,56,120,22770
4702921684,2016-04-17,3394,437,302,66,12,12692
4702921684,2016-04-23,3691,469,408,66,9,15126
4702921684,2016-05-08,3287,1019,192,125,9,12857
4702921684,2016-05-10,3172,701,262,37,1,10613
5577150313,2016-04-15,4005,695,199,54,115,12087
5577150313,2016-04-16,4274,472,158,56,184,14269
5577150313,2016-04-17,4552,525,159,37,200,12231
5577150313,2016-04-21,4018,670,175,74,110,10830
5577150313,2016-04-24,4392,425,141,65,210,15764
5577150313,2016-04-30,4501,621,163,45,207,12363
5577150313,2016-05-01,4546,499,178,72,194,13368
5577150313,2016-05-10,3841,639,194,37,104,8869
6775888955,2016-04-20,3727,1079,178,113,70,10771
6962181067,2016-05-02,2162,655,313,39,18,12912
7007744171,2016-04-22,2889,1065,261,50,64,15299
7086361926,2016-04-19,2944,671,124,69,67,10688
7086361926,2016-04-22,2846,762,153,59,58,9753
7086361926,2016-04-25,2752,706,129,39,69,10091
7086361926,2016-04-28,2862,810,161,48,54,11584
7086361926,2016-05-09,2960,743,171,50,67,13566
8253242879,2016-04-25,1909,1261,118,54,7,6829
8583815059,2016-04-22,2944,1170,212,54,4,8687
8583815059,2016-04-23,3012,1151,238,44,7,9423
8583815059,2016-04-24,2889,1188,206,44,2,8286
8583815059,2016-04-26,3093,1134,214,91,1,10499
8583815059,2016-04-29,3513,1069,258,67,46,15168
8583815059,2016-05-08,2940,1183,182,72,3,9217
8583815059,2016-05-10,2846,1226,162,43,9,8240
8583815059,2016-05-11,2804,1106,177,71,5,8701
8792009665,2016-04-23,2748,795,232,45,8,5245
1503960366,2016-05-12,0,1440,0,0,0,0
1624580081,2016-04-12,1432,1294,146,0,0,8163
1624580081,2016-04-13,1411,1292,148,0,0,7007
1624580081,2016-04-15,1344,1344,96,0,0,1510
1624580081,2016-04-16,1463,1264,176,0,0,5370
1624580081,2016-04-19,1435,1299,141,0,0,2916
1624580081,2016-04-20,1446,1289,151,0,0,4974
1624580081,2016-04-22,1470,1241,199,0,0,4026
1624580081,2016-04-29,1404,1290,150,0,0,2390
1624580081,2016-05-04,1368,1322,118,0,0,2193
1624580081,2016-05-07,1474,1258,182,0,0,2104
1624580081,2016-05-08,1427,1288,152,0,0,3427
1624580081,2016-05-09,1328,1349,91,0,0,1732
1624580081,2016-05-11,1359,1328,112,0,0,3134
1644430081,2016-04-24,2413,1351,89,0,0,3321
1644430081,2016-04-27,2489,1322,118,0,0,3032
1644430081,2016-04-29,2498,1193,120,0,0,3176
1644430081,2016-05-08,2987,991,295,0,0,6724
1844505072,2016-04-12,2030,1101,339,0,0,6697
1844505072,2016-04-13,1860,1192,248,0,0,4929
1844505072,2016-04-14,2130,843,373,0,0,7937
1844505072,2016-04-15,1725,527,176,0,0,3844
1844505072,2016-04-16,1657,1293,147,0,0,3414
1844505072,2016-04-19,1366,1430,10,0,0,197
1844505072,2016-04-20,1349,1439,1,0,0,8
1844505072,2016-04-22,1827,1220,220,0,0,5372
1844505072,2016-04-23,1645,1301,139,0,0,3570
1844505072,2016-04-24,1347,1440,0,0,0,0
1844505072,2016-04-25,1347,1440,0,0,0,0
1844505072,2016-04-26,1347,1440,0,0,0,0
1844505072,2016-04-27,1348,1439,1,0,0,4
1844505072,2016-04-28,1992,1138,302,0,0,6907
1844505072,2016-04-29,1856,1082,247,0,0,4920
1844505072,2016-04-30,1763,218,184,0,0,4014
1844505072,2016-05-02,1348,1440,0,0,0,0
1844505072,2016-05-03,1742,1256,184,0,0,4059
1844505072,2016-05-04,1549,1353,87,0,0,2080
1844505072,2016-05-05,1589,1320,120,0,0,2237
1844505072,2016-05-06,1351,1438,2,0,0,44
1844505072,2016-05-07,1347,1440,0,0,0,0
1844505072,2016-05-08,1347,1440,0,0,0,0
1844505072,2016-05-09,1347,1440,0,0,0,0
1844505072,2016-05-10,1347,1440,0,0,0,0
1844505072,2016-05-11,1347,1440,0,0,0,0
1844505072,2016-05-12,665,711,0,0,0,0
1927972279,2016-04-12,2220,734,55,0,0,678
1927972279,2016-04-13,2151,986,32,0,0,356
1927972279,2016-04-15,2221,941,51,0,0,980
1927972279,2016-04-16,2064,1440,0,0,0,0
1927972279,2016-04-17,2063,1440,0,0,0,0
1927972279,2016-04-18,2111,1423,17,0,0,244
1927972279,2016-04-19,2063,1440,0,0,0,0
1927972279,2016-04-20,2063,1440,0,0,0,0
1927972279,2016-04-21,2064,1440,0,0,0,0
1927972279,2016-04-22,2093,1430,10,0,0,149
1927972279,2016-04-23,2499,1295,145,0,0,2945
1927972279,2016-04-25,2100,1303,12,0,0,152
1927972279,2016-04-26,2638,1058,192,0,0,3761
1927972279,2016-04-27,2063,1440,0,0,0,0
1927972279,2016-04-28,2351,1167,95,0,0,1675
1927972279,2016-04-29,2063,1440,0,0,0,0
1927972279,2016-04-30,2064,1440,0,0,0,0
1927972279,2016-05-03,2195,1413,17,0,10,1326
1927972279,2016-05-04,2338,1353,87,0,0,1786
1927972279,2016-05-05,2063,1440,0,0,0,0
1927972279,2016-05-06,2383,1332,108,0,0,2091
1927972279,2016-05-07,2229,1392,48,0,0,1510
1927972279,2016-05-08,2063,1440,0,0,0,0
1927972279,2016-05-09,2063,1440,0,0,0,0
1927972279,2016-05-10,2063,1440,0,0,0,0
1927972279,2016-05-11,2063,1440,0,0,0,0
1927972279,2016-05-12,1383,966,0,0,0,0
2022484408,2016-04-23,2069,1191,249,0,0,6001
2022484408,2016-05-08,1848,1305,135,0,0,3292
2026352035,2016-04-13,1521,663,238,0,0,4993
2026352035,2016-04-14,1431,653,197,0,0,3335
2026352035,2016-04-15,1444,687,188,0,0,3821
2026352035,2016-04-16,1373,728,150,0,0,2547
2026352035,2016-04-17,1214,1053,60,0,0,838
2026352035,2016-04-18,1419,1062,182,0,0,3325
2026352035,2016-04-19,1356,785,141,0,0,2424
2026352035,2016-04-20,1667,623,327,0,0,7222
2026352035,2016-04-21,1370,749,153,0,0,2467
2026352035,2016-04-22,1399,712,162,0,0,2915
2026352035,2016-04-23,1916,458,432,0,0,12357
2026352035,2016-04-24,1401,704,164,0,0,3490
2026352035,2016-04-25,1576,821,260,0,0,6017
2026352035,2016-04-26,1595,1018,288,0,0,5933
2026352035,2016-04-27,1593,586,286,0,0,6088
2026352035,2016-04-28,1649,626,331,0,0,6375
2026352035,2016-04-29,1692,492,352,0,0,7604
2026352035,2016-04-30,1506,594,233,0,0,4729
2026352035,2016-05-01,1447,716,191,0,0,3609
2026352035,2016-05-02,1690,716,355,0,0,7018
2026352035,2016-05-03,1604,981,304,0,0,5992
2026352035,2016-05-04,1658,530,345,0,0,6564
2026352035,2016-05-05,1926,479,475,0,0,12167
2026352035,2016-05-06,1736,511,383,0,0,8198
